Category;Title;Format;URL
Office;Licensing_Microsoft_Office_software_in_Volume_Licensing;PDF;http://ligman.me/2v0v72p
Office;Microsoft_Access_2013_Quick_Start_Guide;PDF;http://ligman.me/1HCDxl9
Office;Microsoft_Classroom_Deployment;PDF;http://ligman.me/2u7Lw8N
Office;Microsoft_Excel_2013_Quick_Start_Guide;PDF;http://ligman.me/1HByNKS
Office;Microsoft_Excel_2016_for_Mac_Quick_Start_Guide;PDF;http://ligman.me/29a22WR
Office;Microsoft_Excel_2016_Quick_Start_Guide;PDF;http://ligman.me/29bcJtd
Office;Microsoft_Excel_Mobile_Quick_Start_Guide;PDF;http://ligman.me/29rwoHw
Office;Microsoft_Excel_VLOOKUP_Troubleshooting_Tips;PDF;http://ligman.me/2sF7s6H
Office;Microsoft_OneNote_2013_Quick_Start_Guide;PDF;http://ligman.me/1CSMobd
Office;Microsoft_OneNote_2016_for_Mac_Quick_Start_Guide;PDF;http://ligman.me/29d5XTw
Office;Microsoft_OneNote_2016_Quick_Start_Guide;PDF;http://ligman.me/29rwoY0
Office;Microsoft_OneNote_2016_Tips_and_Tricks;PDF;http://ligman.me/29d1wc3
Office;Microsoft_OneNote_Mobile_Quick_Start_Guide;PDF;http://ligman.me/29fudHc
Office;Microsoft_Outlook_2013_Quick_Start_Guide;PDF;http://ligman.me/1FYtDD8
Office;Microsoft_Outlook_2016_for_Mac_Quick_Start_Guide;PDF;http://ligman.me/29hVdVa
Office;Microsoft_Outlook_2016_Quick_Start_Guide;PDF;http://ligman.me/29fDult
Office;Microsoft_Outlook_2016_Tips_and_Tricks;PDF;http://ligman.me/29cfePX
Office;Microsoft_Powerpoint_2013_Quick_Start_Guide;PDF;http://ligman.me/1NCfcKC
Office;Microsoft_PowerPoint_2016_Quick_Start_Guide;PDF;http://ligman.me/29d5mS2
Office;Microsoft_PowerPoint_2016_for_Mac_Quick_Start_Guide;PDF;http://ligman.me/29fDylj
Office;Microsoft_PowerPoint_Mobile_Quick_Start_Guide;PDF;http://ligman.me/29d5AbX
Office;Microsoft_Project_2013_Quick_Start_Guide;PDF;http://ligman.me/1JI6V77
Office;Microsoft_Publisher_2013_Quick_Start_Guide;PDF;http://ligman.me/1H4Q0e5
Office;Microsoft_Visio_2013_Quick_Start_Guide;PDF;http://ligman.me/1LMpRns
Office;Microsoft_Word_2013_Quick_Start_Guide;PDF;http://ligman.me/1HCCCRP
Office;Microsoft_Word_2016_for_Mac_Quick_Start_Guide;PDF;http://ligman.me/29FzGG5
Office;Microsoft_Word_2016_Quick_Start_Guide;PDF;http://ligman.me/29e6cTO
Office;Microsoft_Word_Mobile_Quick_Start_Guide;PDF;http://ligman.me/29gfrkN
Office;Microsoft®_Office_365_Connect_and_Collaborate_Virtually_Anywhere_Anytime;PDF;http://ligman.me/1Ra5c1c
Office;Monitoring_and_protecting_sensitive_data_in_Office_365;DOC;http://ligman.me/29vGIvY
Office;Office_365_Dedicated_Platform_vNext_Service_Release;PDF;http://ligman.me/2sVGUSX
Office;Office_365_Licensing_Brief;PDF;http://ligman.me/2u1KmL9
Office;OneNote_2013_Keyboard_Shortcuts;PDF;http://ligman.me/1n49kzj
Office;OneNote_Online_Keyboard_Shortcuts;PDF;http://ligman.me/1qZlFVR
Office;Outlook_2013_Keyboard_Shortcuts;PDF;http://ligman.me/TWa2Dg
Office;Outlook_Web_App_Keyboard_Shortcuts;PDF;http://ligman.me/1xzdEtT
Office;Own_Your_Future_Update_Your_Skills_with_Resources_and_Career_Ideas_from_Microsoft®;PDF ;http://ligman.me/1Cg5iOv
Office;PowerPoint_Online_Keyboard_Shortcuts;PDF;http://ligman.me/1onU8Ld
Office;Project_2013_Keyboard_Shortcuts;PDF;http://ligman.me/1vM9mwt
Office;Publisher_2013_Keyboard_Shortcuts;PDF;http://ligman.me/1rB8nl1
Office;Security_and_Privacy_For_Microsoft_Office_2010_Users;PDF ;http://ligman.me/1JDjqUt
Office;Security_Incident_Management_in_Microsoft_Office_365;PDF ;http://ligman.me/2tYk9gX
Office;Security_Incident_Management_in_Microsoft_Office_365;PDF;http://ligman.me/2tYk9gX
Office;SharePoint_Online_Dedicated_&_OneDrive_for_Business_Dedicated_vNext_Service_Release;PDF;http://ligman.me/2sVrsGy
Office;Skype_for_Business_User_Tips_&_Tricks_for_Anyone;PDF;http://ligman.me/1M7Xr5v
Office;Switching_from_Google_Apps_to_Office_365_for_business;PDF;http://ligman.me/2t3nqXV
Office;Tenant_Isolation_in_Microsoft_Office_365;PDF;http://ligman.me/2u2K9aI
Office;Visio_2013_Keyboard_Shortcuts;PDF;http://ligman.me/1vM9H2d
Office;Windows_10_Tips_and_Tricks;PDF;http://ligman.me/2sFsnXy
Office;Word_2013_Keyboard_Shortcuts;PDF;http://ligman.me/1m6xucg
Office;Word_Online_Keyboard_Shortcuts;PDF;http://ligman.me/1qzRntH
Office;Working_with_SmartArt_Graphics_Keyboard_Shortcuts;PDF;http://ligman.me/1lJmKeW
Power BI;Ask_find_and_act—harnessing_the_power_of_Cortana_and_Power_BI;DOC;http://ligman.me/29ZNaMN
Power BI;Bidirectional_cross-filtering_in_SQL_Server_Analysis_Services_2016_and_Power_BI_Desktop;DOC;http://ligman.me/2tEERQt
Power BI;Configuring_Power_BI_mobile_apps_with_Microsoft_Intune;DOC;http://ligman.me/29sp3nZ
Power BI;Getting_started_with_the_Power_BI_for_Android_app;DOC;http://ligman.me/29LXmMt
Power BI;Getting_Started_with_the_Power_BI_for_iOS_app;DOC;http://ligman.me/29EmfZc
Power BI;How_to_plan_capacity_for_embedded_analytics_with_Power_BI_Premium;PDF;http://ligman.me/2t3HOIt
Power BI;Introducing_Microsoft_Power_BI;PDF;http://ligman.me/2tE789y
Power BI;Introducing_Microsoft_Power_BI_–_Mobile;PDF;http://ligman.me/2sUDY9j
Power BI;Microsoft_Power_BI_Premium_Whitepaper;PDF;http://ligman.me/2tEI5U4
Power BI;Power_BI_mobile_apps—enabling_data_analytics_on_the_go;DOC;http://ligman.me/29yWFFf
Power BI;Propelling_digital_transformation_in_manufacturing_operations_with_Power_BI;DOC;http://ligman.me/2tEtGXW
Power BI;Using_Power_BI_to_visualize_data_insights_from_Microsoft_Dynamics_CRM_Online;DOC;http://ligman.me/2txJKMz
PowerShell;Microsoft_Dynamics_GP_2015_R2_PowerShell_Users_Guide;PDF;http://ligman.me/2uH1kN1
PowerShell;PowerShell_Integrated_Scripting_Environment_3.0;PDF;http://ligman.me/2tY8L4x
PowerShell;Simplify_Group_Policy_administration_with_Windows_PowerShell;PDF;http://ligman.me/2tyf2TJ
PowerShell;Windows_PowerShell_3.0_Examples;PDF;http://ligman.me/2v0vXMn
PowerShell;Windows_PowerShell_3.0_Language_Quick_Reference;PDF;http://ligman.me/2u8l13d
PowerShell;WINDOWS_POWERSHELL_4.0_LANGUAGE_QUICK_REFERENCE;PDF;http://ligman.me/2u8jZEr
PowerShell;Windows_PowerShell_4.0_Language_Reference_Examples;PDF;http://ligman.me/1omCrM6
PowerShell;Windows_PowerShell_Command_Builder_User’s_Guide;PDF;http://ligman.me/2sFvbUs
PowerShell;Windows_PowerShell_Desired_State_Configuration_Quick_Reference;PDF;http://ligman.me/2tYmSHb
PowerShell;WINDOWS_POWERSHELL_INTEGRATED_SCRIPTING_ENVIRONMENT_4.0;PDF;http://ligman.me/1n3mkVY
PowerShell;Windows_PowerShell_Web_Access;PDF;http://ligman.me/2tEXUKw
PowerShell;WMI_in_PowerShell_3.0;PDF;http://ligman.me/2tEAt3Z
PowerShell;WMI_in_Windows_PowerShell_4.0;PDF;http://ligman.me/2t3uPGw
SharePoint;Configuring_Microsoft_SharePoint_Hybrid_Capabilities;PDF;http://ligman.me/2uFTByu
SharePoint;Configuring_Microsoft_SharePoint_Hybrid_Capabilities_–_Mobile;PDF;http://ligman.me/2tXvePt
SharePoint;Deployment_guide_for_Microsoft_SharePoint_2013;PDF;http://ligman.me/12FIZ1I
SharePoint;Microsoft_SharePoint_Server_2016_Architectural_Models;PDF;http://ligman.me/2v0Dhb1
SharePoint;Planning_and_Preparing_for_Microsoft_SharePoint_Hybrid_–_8.5_X_11;PDF;http://ligman.me/2u0QCD2
SharePoint;Planning_and_Preparing_for_Microsoft_SharePoint_Hybrid_–_Mobile;PDF;http://ligman.me/2sEzMGA
SharePoint;RAP_as_a_Service_for_SharePoint_Server;PDF;http://ligman.me/2u8h5PG
SharePoint;SharePoint_Online_Dedicated_Service_Description;PDF;http://ligman.me/2uGN9ao
SharePoint;SharePoint_Products_Keyboard_Shortcuts;PDF;http://ligman.me/TL3pn1
SharePoint;SharePoint_Server_2016_Databases_–_Quick_Reference_Guide;PDF;http://ligman.me/2txHeGo
SharePoint;SharePoint_Server_2016_Quick_Start_Guide;PDF;http://ligman.me/29FkNr3
SQL Server;5_Tips_For_A_Smooth_SSIS_Upgrade_to_SQL_Server_2012;PDF;http://ligman.me/1anyEJj
